id	filename	md5	size	state
6d345559-eca4-42bc-b97e-93762ec2e0e5	6d345559-eca4-42bc-b97e-93762ec2e0e5/TCGA-IG-A3YA-01A-21-A41X-20_RPPA_data.tsv	98ce748218d93904d7b8240fcaaa8808	22077	validated
79e66871-8ff2-409d-bc2d-93cc957b68c2	79e66871-8ff2-409d-bc2d-93cc957b68c2/TCGA-LN-A5U5-01A-11-A41X-20_RPPA_data.tsv	6fa8b38838d5c3fe5f0bde45661891a2	22080	validated
7df5d3b8-4f31-4dff-b81a-28d4e31e7cb0	7df5d3b8-4f31-4dff-b81a-28d4e31e7cb0/TCGA-LN-A7HX-01A-21-A41Y-20_RPPA_data.tsv	e0b2143cdd30adf3e74e005ad31c51de	22087	validated
82a77175-e20b-4bc8-ab13-efc88d055234	82a77175-e20b-4bc8-ab13-efc88d055234/TCGA-LN-A49U-01A-41-A41X-20_RPPA_data.tsv	0bfcb8281b9464fc2e89c2bc85f9d0ed	22095	validated
8485e141-af51-48bd-baf4-a98f4537676c	8485e141-af51-48bd-baf4-a98f4537676c/TCGA-L5-A88W-01A-21-A41X-20_RPPA_data.tsv	effba960528d5fa2509f8a1263d3c475	22068	validated
84961fdb-1db0-4ccf-9336-8acbf70fdbec	84961fdb-1db0-4ccf-9336-8acbf70fdbec/TCGA-JY-A93E-01A-21-A41Y-20_RPPA_data.tsv	f84ecbdf13c7e119773caaa1413d299e	22103	validated
87f355a3-062d-46cd-86cc-e469fb34b6c7	87f355a3-062d-46cd-86cc-e469fb34b6c7/TCGA-LN-A4A1-01A-11-A41X-20_RPPA_data.tsv	08a69defb787bea15e0595c8568fce7a	22125	validated
882eff07-c34a-44d7-a16f-8d8388c81b7d	882eff07-c34a-44d7-a16f-8d8388c81b7d/TCGA-LN-A4A6-01A-21-A41X-20_RPPA_data.tsv	a6210416accdf230ead33545cebc1ed7	22055	validated
88e63114-1290-46e4-b7c3-7e89c47ab33b	88e63114-1290-46e4-b7c3-7e89c47ab33b/TCGA-JY-A6FE-01A-21-A41X-20_RPPA_data.tsv	b95c401ef6ca8cbd568f74c15aeeb605	22072	validated
88e99b49-e231-407b-bee7-5038b72f466e	88e99b49-e231-407b-bee7-5038b72f466e/TCGA-JY-A6FB-01A-21-A41X-20_RPPA_data.tsv	c9b2a52faaefbe70ac130119bc579895	22038	validated
890026af-c486-4bd1-97a0-8b8548d870a5	890026af-c486-4bd1-97a0-8b8548d870a5/TCGA-L5-A4OG-01A-21-A41X-20_RPPA_data.tsv	ba622397b9604fb0069a5740e991c33f	21991	validated
8b1c6119-46a2-477b-aef7-209427e0122b	8b1c6119-46a2-477b-aef7-209427e0122b/TCGA-L5-A4OH-01A-21-A41X-20_RPPA_data.tsv	d36b1de272d47c5561673a895608f6ad	22068	validated
8d921cdb-bebb-4c5d-a40b-889eee505fbb	8d921cdb-bebb-4c5d-a40b-889eee505fbb/TCGA-L5-A891-01A-21-A41X-20_RPPA_data.tsv	7df55300acc0de149629e6e645f29189	21936	validated
8f6a45b5-c49f-47c0-8e4a-0da1a4a9fa1a	8f6a45b5-c49f-47c0-8e4a-0da1a4a9fa1a/TCGA-Z6-A8JE-01A-21-A41Y-20_RPPA_data.tsv	f214a2f69c0c00ac8c318cddbed6ef8b	22099	validated
921dec69-2375-4d74-99b6-4fb8d1cdb349	921dec69-2375-4d74-99b6-4fb8d1cdb349/TCGA-LN-A4MR-01A-21-A41X-20_RPPA_data.tsv	d371727be11fafbb204e01c5b0956ca1	22094	validated
94fce996-ebe1-483d-839c-52a4fa8d77e8	94fce996-ebe1-483d-839c-52a4fa8d77e8/TCGA-LN-A8I1-01A-21-A41Y-20_RPPA_data.tsv	420d79eabaa2f916b7ae18c4299adbfa	22031	validated
969623c2-9215-4f8f-aab4-f04d1ac3efca	969623c2-9215-4f8f-aab4-f04d1ac3efca/TCGA-VR-AA4D-01A-21-A41Y-20_RPPA_data.tsv	f03ace363a2c790e72d8cee5a63ae45a	22078	validated
98a5b4f4-01fe-451a-ae0d-b1776716565d	98a5b4f4-01fe-451a-ae0d-b1776716565d/TCGA-S8-A6BV-01A-11-A41Y-20_RPPA_data.tsv	fd4c56484b46bd3b2d67b0272518494d	22082	validated
98d963cf-7477-49f4-8f93-9b11f7a5a0b0	98d963cf-7477-49f4-8f93-9b11f7a5a0b0/TCGA-IG-A5B8-01A-21-A41X-20_RPPA_data.tsv	c4494a042e186be321c8152af26356d4	22090	validated
997177dc-2272-419e-a24b-07e12f642100	997177dc-2272-419e-a24b-07e12f642100/TCGA-IG-A625-01A-21-A41X-20_RPPA_data.tsv	7e8e2f9a1c4a444707ca96144a5d9ee0	22008	validated
99e7f858-9f0b-4aa0-a356-b76ba0c794dd	99e7f858-9f0b-4aa0-a356-b76ba0c794dd/TCGA-LN-A4A8-01A-51-A41X-20_RPPA_data.tsv	c3c8fbd24a1e245694e2103f5af036d6	22040	validated
9c34baa8-f1df-4395-a17d-c12130267b99	9c34baa8-f1df-4395-a17d-c12130267b99/TCGA-X8-AAAR-01A-21-A41X-20_RPPA_data.tsv	b1354b1ba6f293041036142a96d79131	22011	validated
a2142df2-8d42-4074-89a2-5147a6b002f2	a2142df2-8d42-4074-89a2-5147a6b002f2/TCGA-L7-A6VZ-01A-21-A41X-20_RPPA_data.tsv	932256238f324aca40f0c47fb40941f4	22040	validated
a5372c45-ceac-43e3-a25f-76f3532c7546	a5372c45-ceac-43e3-a25f-76f3532c7546/TCGA-2H-A9GL-01A-21-A41Y-20_RPPA_data.tsv	42f160f73b492c468c2100a6db5b46b7	23950	validated
