"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTSF",6.28607297414938,-1.5858349796822,0.823539886270096,-1.92563226884447,0.0541503065270604,0.999543227048232
"C11orf80",4.96336802086112,-0.00684112137832163,0.913709991219027,-0.00748719117013763,0.994026141575411,0.999543227048232
"KDM2A",20.8705366880668,0.0846550195714696,0.601402342428129,0.140762703433578,0.88805740798025,0.999543227048232
"GRK2",7.43987182705754,-0.297753483546228,0.802803086937573,-0.370892300230258,0.710717750323219,0.999543227048232
"PPP1CA",6.64229190557816,-0.659053660879914,0.825092111196619,-0.798763740358757,0.424427419248445,0.999543227048232
"AIP",3.80940023366259,-0.358749550541677,1.00334845172623,-0.357552303912424,0.720678377488262,0.999543227048232
"CDK2AP2",9.1813394162997,-0.953323810941259,0.733111995687665,-1.30037950074331,0.193470932237779,0.999543227048232
"GSTP1",24.7231788866293,-0.377926292118326,0.630982802962207,-0.598948640666776,0.549207134009278,0.999543227048232
"TCIRG1",7.23927882292698,-0.907031550328229,0.806351550578166,-1.12485869181733,0.260648918840799,0.999543227048232
"CHKA",10.8608759317325,1.16000263852065,0.81434845842476,1.42445488355747,0.154314836374063,0.999543227048232
"KMT5B",10.9030268954542,-0.472836085847033,0.692158217533829,-0.683132951208404,0.494522835468698,0.999543227048232
"PPP6R3",35.9335463123221,-0.0429880877211874,0.558853278250723,-0.0769219567893476,0.938685630303936,0.999543227048232
"CPT1A",8.90655586956735,1.65081337972254,0.906391873353901,1.82130205295649,0.0685609545547334,0.999543227048232
"PPFIA1",9.62953556564786,0.312769477472187,0.755799128066695,0.413826195158811,0.67900139832745,0.999543227048232
"CTTN",13.5107489111257,-0.109949267122456,0.67620854511346,-0.162596683991931,0.870835998039536,0.999543227048232
"NUMA1",10.6754582811432,-0.232426188021979,0.738116884111038,-0.314890761917613,0.752844595991533,0.999543227048232
"ATG16L2",3.92559759515363,-0.265387818505727,0.997904654090284,-0.265945065410745,0.790281517232093,0.999543227048232
"FCHSD2",40.0418727011098,0.165173038274297,0.554289967242054,0.297990308387031,0.765710560582302,0.999543227048232
"ARHGEF17",14.4319568562007,0.729531998419504,0.780947638156935,0.934162500499043,0.350220075996206,0.999543227048232
"FAM168A",16.2014027358402,-0.252779138223739,0.634668623457666,-0.39828522930061,0.690419947101515,0.999543227048232
"RAB6A",14.2386712334922,0.565634568968194,0.683277685836205,0.827825320061436,0.407769433041625,0.999543227048232
"C2CD3",4.51720992166639,0.202062048625312,0.958456620397329,0.210820233618447,0.833027549224223,0.999543227048232
"PGM2L1",5.87950258260462,-0.864512573902333,0.843636710635743,-1.02474508636645,0.305483483209844,0.999543227048232
"RNF169",10.2467558450434,-0.944066988177296,0.702814203926168,-1.34326680209848,0.179185597646851,0.999543227048232
"XRRA1",12.4656945223035,0.501778940075261,0.819773964049652,0.612094262662957,0.540475393264338,0.999543227048232
"SLCO2B1",20.2191683377309,1.03514461144514,0.654813573407714,1.58082338772874,0.113918425405006,0.999543227048232
"RPS3",27.942765609796,-0.0476266666194593,0.62040691205707,-0.0767668214100719,0.938809045502226,0.999543227048232
"SERPINH1",15.5867243745386,-0.558780050598883,0.682016889337625,-0.819305297764062,0.412612250752937,0.999543227048232
"UVRAG",35.9957412186248,1.00502064690169,0.58024649529897,1.73205810813878,0.083263216935906,0.999543227048232
"EMSY",10.5393041619972,0.0999277118059645,0.736577627281189,0.135664875099196,0.892086216548835,0.999543227048232
"LRRC32",16.0132603712518,-0.0578917701265788,0.746874403790893,-0.0775120553505903,0.938216201344628,0.999543227048232
"ACER3",19.3816092879498,0.644658834023273,0.634448925839012,1.01609256122667,0.309585311054266,0.999543227048232
"CLNS1A",6.05350931687691,-0.648606539827161,0.835770769761133,-0.776057937528177,0.437714777730637,0.999543227048232
"RSF1",23.2573326592133,-0.0881417613047874,0.591278386410199,-0.149069817755251,0.881498541692953,0.999543227048232
"AAMDC",5.00295516139279,0.321804240350294,0.948724398566395,0.339196758127617,0.734461511300074,0.999543227048232
"GAB2",11.4689120534526,0.529350160271927,0.757645838729006,0.698677578906712,0.484753548947376,0.999543227048232
"TENM4",7.61145850515649,0.160522520708529,0.80014143423469,0.200617683125063,0.84099753004388,0.999543227048232
"RAB30",12.1231642607893,0.567260664973039,0.725061564662262,0.782362067746995,0.434001819626268,0.999543227048232
"RAB30-AS1",6.59544384126451,0.671752140581541,0.881070646863686,0.762427102721844,0.44580513547661,0.999543227048232
"PCF11",9.01543198802149,0.357866445993154,0.797738121034884,0.448601410107998,0.653719216389033,0.999543227048232
"DLG2",114.563796731686,-0.00742976389321747,0.481238273681249,-0.0154388466162162,0.987682071996344,0.999543227048232
"CREBZF",5.46591333853441,0.392471078383748,0.94617065659344,0.414799461015614,0.678288714178161,0.999543227048232
"PICALM",94.5291350471913,0.35954500325699,0.540155656367652,0.665632209935184,0.505646213202014,0.999543227048232
"FZD4",6.27943153860009,0.817991443106224,0.945537761155711,0.865107113338774,0.38698000081156,0.999543227048232
"TMEM135",16.3886804178651,-0.651659749240315,0.637521647272534,-1.02217666180947,0.306697294551254,0.999543227048232
"GRM5",10.5015379307222,0.625119107990908,0.769584375524026,0.812281444208442,0.416630155480458,0.999543227048232
"CHORDC1",11.2611312137359,-1.34245290727683,0.762896215454055,-1.75967960003294,0.0784621465806089,0.999543227048232
"SLC36A4",6.28396623517168,0.0550532995572727,0.882942316741999,0.0623520908595885,0.950282446633066,0.999543227048232
"TAF1D",16.174727766046,-1.04395690073673,0.67410587646823,-1.54865420578473,0.121464867880088,0.999543227048232
"MRE11",5.19312114740147,0.437635352204739,0.939649975516454,0.4657429506814,0.64139950473816,0.999543227048232
"AMOTL1",12.4122474097545,-0.576454500112345,0.703629349135787,-0.819258748686875,0.412638802732639,0.999543227048232
"ENDOD1",9.52911734090033,0.0888888648574623,0.794107765409443,0.111935518992981,0.910874533481476,0.999543227048232
"SESN3",20.0048461186285,0.0799017008455305,0.633565879929902,0.126114273790077,0.899641468834384,0.999543227048232
"CEP57",9.8782250757581,-0.0105665872199363,0.754885477431073,-0.0139976029952187,0.988831893382958,0.999543227048232
"MAML2",102.807464491889,-0.774201815587615,0.573347367451294,-1.3503189506724,0.176913696159404,0.999543227048232
"CCDC82",8.76340631504437,-0.478784870700032,0.794246929364541,-0.602816143189999,0.546631006307812,0.999543227048232
"ARHGAP42",66.6412417777616,-0.713036387059481,0.534568939630626,-1.33385300603543,0.182252035385097,0.999543227048232
"YAP1",19.823828575312,-0.234387529411429,0.632703411400598,-0.370454031364509,0.711044221580927,0.999543227048232
"TMEM123",24.7438492296451,0.561935060508761,0.607960830758248,0.924294842823864,0.355332827116084,0.999543227048232
"DYNC2H1",12.6637672247946,-0.484494131623221,0.672758164480089,-0.720160909526294,0.471425928896735,0.999543227048232
"GRIA4",11.4824771113214,-0.468937966025856,0.711746926829808,-0.658854922092257,0.509988935031838,0.999543227048232
"GUCY1A2",37.2960109833831,-1.34342367957366,0.548671472943823,-2.44850287616686,0.0143451284681565,0.999543227048232
"CWF19L2",10.8541703476324,-0.549666850298133,0.719909551361467,-0.763522096989299,0.445152089252875,0.999543227048232
"NPAT",4.20669085835133,0.47781574607058,1.02236999374189,0.46736088597609,0.64024170197098,0.999543227048232
"ATM",14.2953049225989,-0.15515841195137,0.665289861417842,-0.233219264187646,0.815591147597903,0.999543227048232
"DDX10",17.138511731307,-0.0389578824652595,0.67340156452244,-0.0578523789039419,0.953866215677515,0.999543227048232
"RDX",17.4461359603682,0.468470676453407,0.685337125823113,0.68356237945049,0.494251547388799,0.999543227048232
"ZC3H12C",6.04139981220939,0.18815031301837,0.863260556454717,0.217953098414546,0.82746565492234,0.999543227048232
"SIK2",65.7556955863833,-0.590929143482761,0.697082985817237,-0.847717065981714,0.396595559722944,0.999543227048232
"PPP2R1B",9.7427254075235,-1.03876809154429,0.719341035868239,-1.44405510008268,0.148723476703564,0.999543227048232
